"","teamind01","teamind02","teamind03","teamind04","teamind05","teamind06","teamind07","teamind08","teamind09","teamind10","teamind11","teamind12","teamind13","teamind14","teamind15","teamind16","teamind17","teamind18","teamind19","teamind20"
"348",5,5,5,5,1,5,5,3,5,5,5,1,5,5,5,1,5,3,5,5
"349",3,3,5,5,3,3,5,3,3,3,3,5,5,5,5,3,5,3,5,5
"350",4,1,2,4,3,3,4,3,5,2,3,3,4,4,4,3,5,5,4,3
"351",1,4,3,4,2,3,3,5,4,2,3,4,4,5,5,3,1,3,3,3
"352",3,4,3,5,3,3,4,5,4,5,5,2,4,3,4,2,3,4,5,4
"353",4,4,2,5,2,4,5,4,5,4,4,1,5,4,4,4,5,3,4,5
"354",4,4,4,4,4,4,4,4,4,3,4,3,4,4,5,4,5,4,4,4
"355",5,4,4,4,2,3,4,4,3,1,5,2,4,4,5,4,4,3,4,3
"356",5,3,3,5,1,4,5,2,5,3,4,3,4,4,5,2,4,5,5,4
"357",5,4,3,5,3,1,4,2,5,3,2,4,5,5,5,2,4,5,5,5
"358",5,4,4,4,2,5,2,1,3,2,5,1,4,5,5,1,2,3,5,3
"359",5,1,2,5,3,1,5,1,4,1,5,5,2,5,5,4,5,3,5,4
"389",4,2,3,4,3,3,3,3,4,2,2,3,3,3,3,3,3,3,4,3
"401",5,4,4,5,1,4,5,5,3,1,5,1,5,5,4,2,1,5,5,5
"404",5,4,4,4,2,5,4,4,5,1,3,1,5,5,4,3,5,5,5,4
"406",5,3,3,4,3,2,4,4,3,3,5,4,2,5,4,3,4,2,4,3
"427",5,2,2,5,4,4,5,4,5,3,5,5,5,4,5,5,4,5,5,4
"431",5,5,5,5,3,5,4,4,4,3,1,5,4,5,4,5,4,3,4,4
"432",2,2,3,4,3,4,4,3,3,2,4,2,3,3,4,2,3,3,4,4
"433",3,3,4,4,3,3,3,3,3,1,2,3,3,3,3,3,3,4,3,5
"434",5,4,4,4,4,5,4,4,5,4,5,2,5,4,4,4,4,4,5,4
"437",5,2,3,1,2,4,4,4,5,4,3,1,3,3,5,4,1,2,4,3
"438",3,3,3,3,3,3,3,1,3,3,2,3,3,3,5,4,3,3,4,3
"439",4,2,2,5,5,3,2,2,5,3,4,4,5,3,4,3,2,5,3,3
"440",5,1,4,4,5,4,5,1,5,3,5,2,2,5,5,4,2,5,4,1
"441",2,4,4,4,3,3,3,4,2,3,3,3,2,2,3,3,2,3,3,3
"442",5,4,2,4,2,4,4,3,4,2,3,5,5,4,5,3,4,3,4,4
"444",3,1,1,5,5,5,5,5,5,5,5,5,4,5,4,5,5,2,5,1
"445",5,3,3,3,3,2,3,3,4,4,5,4,5,4,5,4,4,5,4,3
"446",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"447",5,3,2,4,3,3,4,3,3,2,4,4,5,4,5,4,1,4,5,4
"448",5,3,4,4,3,3,5,3,4,4,1,2,4,4,4,3,3,4,4,4
"449",4,3,3,4,4,4,5,2,5,3,5,2,5,5,5,4,5,5,4,4
"450",4,2,3,3,2,3,4,3,4,4,3,4,3,3,2,5,2,5,4,3
"451",5,3,2,4,4,2,3,2,5,3,5,2,5,5,5,4,4,5,5,3
"453",5,3,3,4,4,2,4,2,5,2,4,4,4,3,4,3,4,5,4,4
"454",2,1,2,5,2,2,5,1,5,1,3,1,5,2,5,4,1,4,5,5
"455",4,4,2,4,2,2,4,3,5,2,5,5,5,2,5,4,4,4,4,4
"456",3,3,3,5,2,3,5,1,3,3,4,3,5,3,5,2,3,3,5,4
"457",3,2,2,4,3,2,4,3,3,3,3,3,4,3,5,4,3,4,4,4
"458",4,5,5,5,2,5,5,4,5,5,5,2,5,5,5,5,4,5,5,5
"459",5,3,3,4,2,3,4,3,4,3,5,4,5,4,5,3,3,4,4,4
"460",4,4,3,4,3,4,4,4,5,1,5,5,3,4,5,4,3,5,5,4
"461",4,4,3,4,3,3,4,4,4,4,4,1,5,4,5,3,3,5,5,4
"462",5,2,2,4,3,2,5,3,4,2,3,4,4,4,4,2,3,3,5,3
"463",4,2,3,3,2,3,3,2,4,3,4,2,4,4,3,3,4,4,4,4
"465",5,5,4,5,2,3,5,1,5,3,3,5,5,5,2,5,3,5,5,5
"466",5,4,3,3,3,2,3,2,5,3,3,2,4,5,5,2,4,4,4,4
"467",5,4,4,4,2,4,4,4,5,4,4,3,3,4,4,3,3,4,4,4
"469",5,4,2,5,2,4,5,1,5,4,5,2,5,4,5,2,2,5,5,4
"471",5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
"474",5,1,2,5,5,1,5,3,5,5,5,1,5,5,5,3,4,5,4,5
"475",5,5,3,3,3,1,4,5,5,3,4,4,5,4,5,5,4,4,3,4
"477",3,2,3,4,3,4,4,2,4,5,3,1,2,4,4,4,1,4,4,4
"478",4,3,4,4,3,4,5,4,4,3,4,3,4,4,4,5,5,4,4,5
"481",5,3,3,4,2,3,4,4,3,4,4,3,5,3,5,4,4,5,4,5
"488",4,3,4,4,2,4,4,4,5,1,2,5,4,4,5,2,4,4,4,3
"491",3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
"492",5,2,4,2,3,2,4,4,4,3,4,5,4,4,5,4,4,4,4,3
"493",5,3,2,4,4,3,4,1,5,2,5,2,5,5,5,3,4,4,4,4
"499",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"500",4,5,4,5,1,3,4,1,4,5,5,3,5,3,5,3,3,5,4,4
"501",4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,2,4,3,4,2
"502",4,4,4,4,3,5,5,5,3,4,4,4,4,3,4,4,4,2,4,4
"503",5,4,2,4,3,4,4,3,4,3,2,2,5,5,2,4,3,5,4,4
"504",5,4,3,4,5,3,4,2,5,3,5,3,5,5,5,4,5,5,5,5
"505",4,4,3,4,3,3,4,3,5,2,4,4,4,5,5,3,3,4,5,4
"506",5,4,3,4,4,3,5,2,5,4,5,3,3,4,5,5,3,4,4,4
"507",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"508",5,3,4,4,4,4,4,2,5,2,3,4,3,4,5,4,4,5,1,4
"509",5,4,3,4,2,3,4,4,4,4,4,2,4,5,4,4,4,5,4,4
"510",5,4,2,4,2,4,4,1,5,4,5,2,5,5,5,2,3,5,5,4
"511",5,1,3,4,2,5,5,4,5,5,2,5,5,3,4,5,5,5,5,3
"512",5,5,3,5,2,1,4,1,4,1,5,1,5,4,5,4,3,5,5,4
"513",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"514",4,3,3,2,2,2,2,4,4,3,3,2,4,4,4,5,4,4,5,4
"515",4,2,2,3,3,3,2,2,3,2,5,2,4,5,5,3,4,5,4,3
"516",5,5,5,5,2,5,5,1,5,4,4,1,5,4,5,5,2,5,5,5
"517",5,4,3,4,3,1,3,4,4,3,5,5,5,4,5,5,3,3,4,4
"518",5,4,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5
"520",5,4,3,5,3,3,4,3,5,3,3,5,5,3,5,4,2,3,4,4
"521",5,3,3,4,1,2,5,2,5,4,5,4,2,3,5,4,4,5,4,4
"523",5,4,4,4,3,1,4,2,4,3,4,4,4,4,5,3,3,5,5,4
"524",5,4,5,4,3,4,4,3,5,3,5,5,5,5,5,3,5,5,4,4
"525",5,3,3,4,3,3,3,2,5,3,5,3,5,3,5,3,3,4,4,3
"526",3,2,3,3,4,3,2,3,4,3,5,5,5,5,3,4,3,4,3,3
"527",5,4,3,4,4,2,5,4,5,5,5,1,5,5,5,2,4,4,5,4
"528",5,3,4,4,3,3,4,4,5,3,4,3,4,4,4,4,3,4,4,4
"529",3,4,3,4,3,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4
"531",4,4,2,4,2,4,4,3,4,4,5,4,5,4,5,4,3,4,4,4
"532",5,5,4,5,1,1,5,3,5,5,4,1,5,5,5,4,5,5,5,4
"534",5,3,2,5,2,2,4,3,4,2,5,3,5,5,5,1,5,5,5,5
"535",1,2,2,3,2,2,2,1,3,2,2,1,3,2,5,2,3,4,4,3
"536",5,4,5,5,5,3,5,1,5,5,5,1,5,3,5,3,3,5,5,5
"537",5,5,2,5,5,5,5,2,5,5,1,5,5,5,5,5,5,5,5,5
"538",5,3,4,3,1,5,4,1,5,1,5,5,5,5,5,5,4,5,5,5
"539",3,2,3,4,2,4,4,3,3,3,3,2,4,3,3,4,3,3,4,4
"540",2,3,3,4,3,2,3,3,2,3,5,2,3,2,2,3,3,3,3,4
"541",4,4,4,5,4,4,4,3,4,4,4,5,4,4,5,3,5,4,4,4
"542",5,3,3,4,3,1,3,4,4,3,3,1,5,1,5,4,2,5,4,4
"543",4,3,1,4,2,1,5,4,5,3,4,4,5,5,5,1,3,5,5,4
"544",5,4,3,1,3,1,3,3,5,3,3,3,5,5,5,3,5,5,4,3
"545",5,2,4,4,2,3,4,3,5,4,4,2,4,3,4,2,3,5,4,4
"546",5,2,2,5,4,5,5,5,5,5,5,3,4,5,5,5,3,5,5,5
"548",5,4,3,4,2,4,4,1,3,2,4,2,5,2,5,3,4,5,5,2
"549",3,3,3,3,2,4,3,5,3,4,5,1,3,3,3,3,2,3,3,4
"550",5,4,3,5,2,3,5,4,5,5,2,4,5,5,4,3,3,4,5,5
"551",4,4,3,4,2,3,4,3,4,4,3,2,4,3,5,4,3,4,5,4
"552",5,2,2,4,4,3,4,2,4,3,5,2,5,4,5,4,3,5,4,4
"553",5,3,3,5,2,5,3,4,5,4,5,3,5,5,5,3,3,5,5,4
"554",3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
"555",4,3,3,3,4,2,4,3,4,5,5,2,3,5,3,4,5,3,4,4
"556",4,2,3,1,4,2,3,3,4,3,4,4,4,5,4,4,5,3,3,1
"558",4,3,3,3,3,3,4,3,3,4,4,4,3,3,3,4,2,4,4,3
"559",4,4,4,3,2,3,1,1,4,3,2,2,4,5,3,4,3,5,4,5
"560",3,2,2,3,4,2,2,4,2,3,3,4,3,4,3,3,3,3,3,3
"567",2,4,4,4,2,4,4,3,3,4,3,2,2,1,2,4,2,2,1,4
"581",4,3,2,5,3,2,5,4,4,2,3,2,4,4,5,3,4,3,4,4
